"Reference","Qty","Value","Exclude from Board","Footprint","Datasheet","Sim.Pins"
"J13,J15,J24","3","Mic_Effekt_In","","Connector_PinHeader_2.54mm_LongPads:PinHeader_1x02_P2.54mm_Vertical_LongPads","~",""
"J17","1","AUX_RET_1","","Connector_PinHeader_2.54mm_LongPads:PinHeader_1x02_P2.54mm_Vertical_LongPads","~",""
"J18","1","AUX_Send_1","","Connector_PinSocket_2.54mm_LongPads:PinSocket_1x02_P2.54mm_Vertical_LongPads","~",""
"J19","1","Line_Out_L","","Connector_PinSocket_2.54mm_LongPads:PinSocket_1x02_P2.54mm_Vertical_LongPads","~",""
"J20","1","Effekt_In","","Connector_PinHeader_2.54mm_LongPads:PinHeader_1x02_P2.54mm_Vertical_LongPads","~",""
"J21","1","Line_Out_R","","Connector_PinSocket_2.54mm_LongPads:PinSocket_1x02_P2.54mm_Vertical_LongPads","~",""
"J22","1","AUX_RET_2","","Connector_PinHeader_2.54mm_LongPads:PinHeader_1x02_P2.54mm_Vertical_LongPads","~",""
"J25","1","AUX_Send_3","","Connector_PinSocket_2.54mm_LongPads:PinSocket_1x02_P2.54mm_Vertical_LongPads","~",""
"J26","1","AUX_Send_2","","Connector_PinSocket_2.54mm_LongPads:PinSocket_1x02_P2.54mm_Vertical_LongPads","~",""
"J28","1","AUX_RET_3","","Connector_PinHeader_2.54mm_LongPads:PinHeader_1x02_P2.54mm_Vertical_LongPads","~",""
"J29,J32","2","Pegel_Out","","Connector_PinSocket_2.54mm_LongPads:PinSocket_1x02_P2.54mm_Vertical_LongPads","~",""
"J30,J31,J40,J41","4","Conn_02x07_Odd_Even","","Connector_PinHeader_2.54mm:PinHeader_2x07_P2.54mm_Vertical","~",""
"J33,J35,J36,J42","4","Pegel_In","","Connector_PinHeader_2.54mm_LongPads:PinHeader_1x02_P2.54mm_Vertical_LongPads","~",""
"J34","1","VU_Meter_Out","","Connector_PinSocket_2.54mm_LongPads:PinSocket_1x04_P2.54mm_Vertical_LongPdas","~",""
"J37","1","LED_Out","","Connector_PinSocket_2.54mm_LongPads:PinSocket_1x02_P2.54mm_Vertical_LongPads","~",""
"J38","1","LED_In","","Connector_PinHeader_2.54mm_LongPads:PinHeader_1x02_P2.54mm_Vertical_LongPads","~",""
