Wert;R_29;R_30;R_31;R_32;Wert;;;;
169;3347,41;6438,78;3399,27;6516,38;86;;;;
170;3310,00;6476,33;3361,33;6554,33;85;;;;
171;3272,59;6513,88;3323,40;6592,28;84;;;;
172;3235,18;6551,43;3285,47;6630,23;83;;;;
173;3197,76;6588,98;3247,53;6668,18;82;;;;
174;3160,35;6626,53;3209,60;6706,13;81;;;;
175;3122,94;6664,08;3171,67;6744,08;80;;;;
176;3085,53;6701,63;3133,73;6782,03;79;;;;
177;3048,12;6739,18;3095,80;6819,98;78;;;;
178;3010,71;6776,73;3057,87;6857,93;77;;;;
179;2973,29;6814,27;3019,93;6895,87;76;;;;
180;2935,88;6851,82;2982,00;6933,82;75;;;;
181;2898,47;6889,37;2944,07;6971,77;74;;;;
182;2861,06;6926,92;2906,13;7009,72;73;;;;
183;2823,65;6964,47;2868,20;7047,67;72;;;;
184;2786,24;7002,02;2830,27;7085,62;71;;;;
185;2748,82;7039,57;2792,33;7123,57;70;;;;
186;2711,41;7077,12;2754,40;7161,52;69;;;;
187;2674,00;7114,67;2716,47;7199,47;68;;;;
188;2636,59;7152,22;2678,53;7237,42;67;;;;
189;2599,18;7189,76;2640,60;7275,36;66;;;;
190;2561,76;7227,31;2602,67;7313,31;65;;;;
191;2524,35;7264,86;2564,73;7351,26;64;;;;
192;2486,94;7302,41;2526,80;7389,21;63;;;;
193;2449,53;7339,96;2488,87;7427,16;62;;;;
194;2412,12;7377,51;2450,93;7465,11;61;;;;
195;2374,71;7415,06;2413,00;7503,06;60;;;;
196;2337,29;7452,61;2375,07;7541,01;59;;;;
197;2299,88;7490,16;2337,13;7578,96;58;;;;
198;2262,47;7527,71;2299,20;7616,91;57;;;;
199;2225,06;7565,25;2261,27;7654,85;56;;;;
200;2187,65;7602,80;2223,33;7692,80;55;;;;
201;2150,24;7640,35;2185,40;7730,75;54;;;;
202;2112,82;7677,90;2147,47;7768,70;53;;;;
203;2075,41;7715,45;2109,53;7806,65;52;;;;
204;2038,00;7753,00;2071,60;7844,60;51;;;;
205;2000,59;7790,55;2033,67;7882,55;50;;;;
206;1963,18;7828,10;1995,73;7920,50;49;;;;
207;1925,76;7865,65;1957,80;7958,45;48;;;;
208;1888,35;7903,20;1919,87;7996,40;47;;;;
209;1850,94;7940,75;1881,93;8034,35;46;;;;
210;1813,53;7978,29;1844,00;8072,29;45;;;;
211;1776,12;8015,84;1806,07;8110,24;44;;;;
212;1738,71;8053,39;1768,13;8148,19;43;;;;
213;1701,29;8090,94;1730,20;8186,14;42;;;;
214;1663,88;8128,49;1692,27;8224,09;41;;;;
215;1626,47;8166,04;1654,33;8262,04;40;;;;
216;1589,06;8203,59;1616,40;8299,99;39;;;;
217;1551,65;8241,14;1578,47;8337,94;38;;;;
218;1514,24;8278,69;1540,53;8375,89;37;;;;
219;1476,82;8316,24;1502,60;8413,84;36;;;;
220;1439,41;8353,78;1464,67;8451,78;35;;;;
221;1402,00;8391,33;1426,73;8489,73;34;;;;
222;1364,59;8428,88;1388,80;8527,68;33;;;;
223;1327,18;8466,43;1350,87;8565,63;32;;;;
224;1289,76;8503,98;1312,93;8603,58;31;;;;
225;1252,35;8541,53;1275,00;8641,53;30;;;;
226;1214,94;8579,08;1237,07;8679,48;29;;;;
227;1177,53;8616,63;1199,13;8717,43;28;;;;
228;1140,12;8654,18;1161,20;8755,38;27;;;;
229;1102,71;8691,73;1123,27;8793,33;26;;;;
230;1065,29;8729,27;1085,33;8831,27;25;;;;
231;1027,88;8766,82;1047,40;8869,22;24;;;;
232;990,47;8804,37;1009,47;8907,17;23;;;;
233;953,06;8841,92;971,53;8945,12;22;;;;
234;915,65;8879,47;933,60;8983,07;21;;;;
235;878,24;8917,02;895,67;9021,02;20;;;;
